DEBUG: SQLALCHEMY_DATABASE_URI = sqlite:////home/sak/Desktop/booking-project/Backend/booking.db
 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.148.167.146:5000
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 308-899-129
127.0.0.1 - - [10/Mar/2026 12:25:18] "GET /api/hotels HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:40] "GET /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:54] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:54] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:55] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:56] "OPTIONS /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:56] "OPTIONS /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:56] "GET /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:56] "GET /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:56] "GET /static/uploads/profiles/user_1_hotely_admin_logo.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:04] "OPTIONS /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:04] "OPTIONS /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:04] "GET /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:04] "GET /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:04] "[36mGET /static/uploads/hotel_tfeila.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:26:04] "[36mGET /static/uploads/hotel_azalai.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:26:04] "[36mGET /static/uploads/hotel_monotel.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:26:04] "[36mGET /static/uploads/hotel_semiramis.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:26:35] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:36] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:36] "OPTIONS /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:36] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:36] "OPTIONS /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:36] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:36] "GET /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:36] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:36] "GET /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:36] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:36] "OPTIONS /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:36] "OPTIONS /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:36] "GET /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:36] "GET /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "OPTIONS /api/hotels/my HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "OPTIONS /api/rooms/types HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "OPTIONS /api/rooms/amenities HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "OPTIONS /api/hotels/my HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "OPTIONS /api/rooms/types HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "OPTIONS /api/rooms/amenities HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "GET /api/rooms/amenities HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "GET /api/rooms/types HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "GET /api/rooms/amenities HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "GET /api/rooms/types HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "GET /api/hotels/my HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "GET /api/hotels/my HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "[36mGET /static/uploads/hotel_tfeila.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "GET /static/uploads/hotel_rosso.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:49] "GET /static/uploads/hotel_kiffa.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:50] "OPTIONS /api/bookings/admin/all HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:50] "OPTIONS /api/payments HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:50] "OPTIONS /api/bookings/admin/all HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:50] "OPTIONS /api/payments HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:50] "GET /api/bookings/admin/all HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:50] "GET /api/payments HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:50] "[36mGET /static/uploads/profiles/user_1_hotely_admin_logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:26:50] "GET /api/payments HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:50] "GET /api/bookings/admin/all HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:51] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:51] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:51] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:52] "OPTIONS /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:52] "OPTIONS /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:52] "GET /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:52] "GET /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:52] "GET /api/rooms/types HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:52] "GET /api/rooms/amenities HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:52] "GET /api/rooms/types HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:52] "GET /api/rooms/amenities HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:52] "GET /api/hotels/my HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:53] "GET /api/hotels/my HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:55] "GET /api/bookings/admin/all HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:55] "GET /api/payments HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:55] "GET /api/payments HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:55] "GET /api/bookings/admin/all HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:57] "OPTIONS /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:57] "OPTIONS /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:57] "GET /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:26:57] "GET /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "OPTIONS /api/hotels/my HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "OPTIONS /api/rooms/types HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "OPTIONS /api/rooms/amenities HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "OPTIONS /api/hotels/my HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "OPTIONS /api/rooms/types HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "OPTIONS /api/rooms/amenities HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "GET /api/rooms/types HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "GET /api/rooms/types HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "GET /api/rooms/amenities HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "GET /api/rooms/amenities HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "GET /api/hotels/my HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "[36mGET /static/uploads/hotel_tfeila.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "[36mGET /static/uploads/hotel_kiffa.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "[36mGET /static/uploads/hotel_rosso.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:27:05] "GET /api/hotels/my HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:06] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:06] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:06] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:08] "OPTIONS /api/hotels/1/rooms HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:08] "GET /api/hotels/1/rooms HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:18] "OPTIONS /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:18] "OPTIONS /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:18] "GET /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:18] "[36mGET /static/uploads/hotel_azalai.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:27:18] "[36mGET /static/uploads/hotel_monotel.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:27:18] "[36mGET /static/uploads/hotel_semiramis.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:27:18] "GET /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:21] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:21] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:21] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:26] "OPTIONS /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:26] "OPTIONS /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:26] "GET /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:26] "[36mGET /static/uploads/hotel_tfeila.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:27:26] "GET /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:26] "[36mGET /static/uploads/hotel_azalai.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:27:26] "[36mGET /static/uploads/hotel_monotel.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:27:26] "[36mGET /static/uploads/hotel_semiramis.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:27:39] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:39] "[31m[1mPOST /api/auth/login HTTP/1.1[0m" 401 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "OPTIONS /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "OPTIONS /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "GET /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "OPTIONS /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "[36mGET /static/uploads/profiles/user_1_hotely_admin_logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "OPTIONS /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "OPTIONS /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "OPTIONS /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "GET /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "GET /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "GET /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:44] "GET /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:45] "GET /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:50] "OPTIONS /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:50] "OPTIONS /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:50] "GET /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:50] "GET /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:59] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:27:59] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:00] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:08] "OPTIONS /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:08] "[35m[1mPOST /api/messages HTTP/1.1[0m" 201 -
127.0.0.1 - - [10/Mar/2026 12:28:08] "GET /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:14] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:14] "[31m[1mGET /api/notifications HTTP/1.1[0m" 401 -
127.0.0.1 - - [10/Mar/2026 12:28:18] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:19] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:19] "OPTIONS /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:19] "OPTIONS /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:19] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:19] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:19] "OPTIONS /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:19] "OPTIONS /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:19] "GET /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:19] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:19] "GET /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:19] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:19] "GET /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:19] "GET /api/dashboard/stats HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:20] "OPTIONS /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:20] "OPTIONS /api/notifications/read-by-type HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:20] "OPTIONS /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:20] "PUT /api/notifications/read-by-type HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:20] "GET /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:20] "[36mGET /static/uploads/profiles/user_1_hotely_admin_logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:28:20] "GET /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:30] "OPTIONS /api/messages/21/read HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:30] "PUT /api/messages/21/read HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:34] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:34] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:34] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:45] "OPTIONS /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:45] "OPTIONS /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:45] "GET /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:45] "[36mGET /static/uploads/hotel_monotel.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:28:45] "[36mGET /static/uploads/hotel_azalai.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:28:45] "[36mGET /static/uploads/hotel_semiramis.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:28:45] "[36mGET /static/uploads/hotel_tfeila.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:28:45] "GET /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:46] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:46] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:46] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:46] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:49] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:49] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:52] "OPTIONS /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:52] "OPTIONS /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:52] "GET /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:52] "GET /api/messages HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:58] "OPTIONS /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:58] "OPTIONS /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:58] "GET /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:28:58] "[36mGET /static/uploads/hotel_tfeila.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:28:58] "[36mGET /static/uploads/hotel_semiramis.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:28:58] "[36mGET /static/uploads/hotel_monotel.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:28:58] "[36mGET /static/uploads/hotel_azalai.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Mar/2026 12:28:58] "GET /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:29:04] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:29:04] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:29:04] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:29:19] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:29:19] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:29:19] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:29:34] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:29:34] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:29:34] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:29:49] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:29:49] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:29:49] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:30:04] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:30:04] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:30:19] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:30:19] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:30:21] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:30:34] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:30:34] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:30:49] "OPTIONS /api/notifications HTTP/1.1" 200 -
